Date,hyp,hyp2
5/8/2024,$100.00 ,$100.00 
5/9/2024,$100.42 ,$100.53 
5/10/2024,$100.51 ,$100.71 
5/13/2024,$100.53 ,$100.69 
5/14/2024,$101.06 ,$101.19 
5/15/2024,$101.96 ,$102.39 
5/16/2024,$101.88 ,$102.20 
5/17/2024,$101.88 ,$102.33 
5/20/2024,$101.82 ,$102.43 
5/21/2024,$102.13 ,$102.69 
5/22/2024,$102.04 ,$102.40 
5/23/2024,$101.53 ,$101.68 
5/24/2024,$101.17 ,$102.37 
5/28/2024,$100.86 ,$102.40 
5/29/2024,$101.25 ,$101.64 
5/30/2024,$100.59 ,$101.05 
5/31/2024,$101.90 ,$101.87 
6/3/2024,$102.24 ,$101.99 
6/4/2024,$102.35 ,$102.15 
6/5/2024,$102.88 ,$103.36 
6/6/2024,$102.91 ,$103.35 
6/7/2024,$102.76 ,$103.25 
6/10/2024,$103.11 ,$103.52 
6/11/2024,$102.84 ,$103.81 
6/12/2024,$103.47 ,$104.69 
6/13/2024,$104.57 ,$104.94 
6/14/2024,$105.62 ,$104.92 
6/17/2024,$104.07 ,$105.74 
6/18/2024,$104.07 ,$106.01 
6/20/2024,$108.69 ,$105.74 
6/21/2024,$108.80 ,$105.58 
6/24/2024,$108.17 ,$105.27 
6/25/2024,$108.95 ,$105.68 
6/26/2024,$108.53 ,$105.85 
6/27/2024,$108.01 ,$105.94 
6/28/2024,$107.48 ,$105.52 
7/1/2024,$106.91 ,$105.81 
7/2/2024,$108.95 ,$106.46 
7/3/2024,$110.40 ,$107.01 
7/5/2024,$112.06 ,$107.61 
7/8/2024,$112.45 ,$107.72 
7/9/2024,$112.65 ,$107.80 
7/10/2024,$112.42 ,$108.92 
7/11/2024,$111.30 ,$107.97 
7/12/2024,$114.26 ,$108.56 
7/15/2024,$113.80 ,$108.88 
7/16/2024,$113.80 ,$109.58 
7/17/2024,$115.81 ,$108.05 
7/18/2024,$111.75 ,$107.21 
7/19/2024,$112.80 ,$106.45 
7/22/2024,$116.33 ,$107.60 
7/23/2024,$115.98 ,$107.43 
7/24/2024,$110.20 ,$104.95 
7/25/2024,$112.89 ,$104.41 
7/26/2024,$112.18 ,$105.58 
7/29/2024,$112.34 ,$105.66 
7/30/2024,$111.24 ,$105.14 
7/31/2024,$116.34 ,$106.81 
8/1/2024,$112.32 ,$105.35 
8/2/2024,$111.44 ,$103.41 
8/5/2024,$106.33 ,$100.32 
8/6/2024,$107.85 ,$101.36 
8/7/2024,$105.68 ,$100.58 
8/8/2024,$110.03 ,$102.90 
8/9/2024,$111.69 ,$103.39 
8/12/2024,$111.80 ,$103.41 
8/13/2024,$115.14 ,$105.15 
8/14/2024,$116.22 ,$105.56 
8/15/2024,$118.56 ,$107.29 
8/16/2024,$118.71 ,$107.52 
8/19/2024,$119.29 ,$108.58 
8/20/2024,$119.28 ,$108.36 
8/21/2024,$119.68 ,$108.83 
8/22/2024,$119.20 ,$107.86 
8/23/2024,$121.19 ,$109.10 
8/26/2024,$121.25 ,$108.76 
8/27/2024,$121.28 ,$108.94 
8/28/2024,$121.30 ,$108.29 
8/29/2024,$121.74 ,$108.29 
8/30/2024,$120.76 ,$109.40 
9/3/2024,$119.08 ,$107.10 
9/4/2024,$120.04 ,$106.93 
9/5/2024,$119.10 ,$106.61 
9/6/2024,$116.28 ,$104.78 
9/9/2024,$116.40 ,$106.01 
9/10/2024,$116.45 ,$106.48 
9/11/2024,$116.45 ,$107.62 
9/12/2024,$117.39 ,$108.43 
9/13/2024,$117.42 ,$109.03 
9/16/2024,$118.00 ,$109.19 
9/17/2024,$118.39 ,$109.22 
9/18/2024,$117.43 ,$108.91 
9/19/2024,$119.05 ,$110.76 
9/20/2024,$119.33 ,$110.55 
9/23/2024,$119.37 ,$110.86 
9/24/2024,$119.48 ,$111.14 
9/25/2024,$120.03 ,$110.94 
9/26/2024,$119.85 ,$111.39 
9/27/2024,$120.33 ,$111.25 
9/30/2024,$119.90 ,$111.73 
10/1/2024,$120.21 ,$110.70 
10/2/2024,$120.18 ,$110.72 
10/3/2024,$119.35 ,$110.53 
10/4/2024,$120.49 ,$111.55 
10/7/2024,$120.77 ,$110.48 
10/8/2024,$120.76 ,$111.55 
10/9/2024,$120.58 ,$112.35 
10/10/2024,$121.03 ,$112.13 
10/11/2024,$120.00 ,$112.81 
10/14/2024,$119.34 ,$113.68 
10/15/2024,$121.81 ,$112.83 
10/16/2024,$121.11 ,$113.35 
10/17/2024,$120.14 ,$113.34 
10/18/2024,$120.82 ,$113.79 
10/21/2024,$120.20 ,$113.59 
10/22/2024,$120.20 ,$113.54 
10/23/2024,$119.26 ,$112.49 
10/24/2024,$119.57 ,$112.74 
10/25/2024,$119.74 ,$112.70 
10/28/2024,$120.10 ,$113.00 
10/29/2024,$120.31 ,$113.19 
10/30/2024,$117.27 ,$112.81 
10/31/2024,$122.43 ,$110.72 
11/1/2024,$117.24 ,$111.18 
11/4/2024,$118.85 ,$110.87 
11/5/2024,$120.72 ,$112.23 
11/6/2024,$122.11 ,$115.07 
11/7/2024,$122.59 ,$115.93 
11/8/2024,$122.90 ,$116.39 
11/11/2024,$122.66 ,$116.50 
11/12/2024,$122.35 ,$116.17 
11/13/2024,$121.74 ,$116.29 
11/14/2024,$122.25 ,$115.52 
11/15/2024,$123.79 ,$114.01 
11/18/2024,$123.92 ,$114.47 
11/19/2024,$124.50 ,$114.93 
11/20/2024,$124.54 ,$114.93 
11/21/2024,$125.18 ,$115.56 
11/22/2024,$125.39 ,$115.97 
11/25/2024,$126.73 ,$116.32 
11/26/2024,$127.56 ,$116.99 
11/27/2024,$126.68 ,$116.56 
11/29/2024,$128.21 ,$117.22 
